Station_Name,GroupName,Owner_Name,Operators_Name,Connection_Type,Generation_Type,Operating_Capacity,Fuel_Name,Primary_Efficiency,Secondary_Fuel,Secondary_Efficiency,Date_Commissioned,Year,Installed_Capacity,Max_Unit_Size,Typical_Annual_GWh,Generating_Units,Thermal_Operating_Stockpile,Hydro_Max_m3_Storage,Hydro_Max_GWh_Storage,Node_Name,Region_Name,Island_Name,Comments,Decommission_Date,Data_Source,GroupOrder,CDSName
Watercare Clevedon,,Watercare Services,Meridian Energy,Embedded,Thermal,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,TAK0331,AKL - Auckland,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Ardmore
Watercare Cossey's Dam,,Counties Power,Mighty River Power,Embedded,Hydro,0,Hydro,0,Not Applicable,0,,,0,0 MW,0,,,0,,BOB0331,AKL - Auckland,NI - North Island,,,EMS (Reconciliation Manager List),,GEN.Hydro.Auckland.Cossey
Watercare Mangere,,Watercare Services,Mighty River Power,Embedded,Cogeneration,7,Biogas,0,Not Applicable,0,Apr 2003,2003,7,7 MW,0.1,,,0,,MNG0331,AKL - Auckland,NI - North Island,Total annual injection into local network less than 0.1 GWh for 2006/07 in CDS,,"EMS (Reconciliation Manager List),CDS",,GEN.Thermal.Mangere.Watercare
Watercare Wairoa Dam,,Counties Power,Mighty River Power,Embedded,Hydro,0,Hydro,0,Not Applicable,0,,,0,0 MW,0,,,0,,BOB0331,AKL - Auckland,NI - North Island,,,EMS (Reconciliation Manager List),,GEN.Hydro.Auckland.Wairoa
Watercare Waitakere,,United Networks,Mighty River Power,Embedded,Hydro,0,Hydro,0,Not Applicable,0,,,0,0.03 MW,0.1,,,0,,HEN0331,NIS - North Isthmus,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Hydro.Auckland.Waitakere
Weld Cone Wind,,Energy3,Meridian Energy,Embedded,Wind,0.75,Wind,0,Not Applicable,0,2010,2010,0.75,0.25 MW,3,3 x 0.25 MW,,0,,BLN0331,NEL - Nelson/Marlbourough,SI - South Island,"The wind farm's three turbines are secondhand Micon 530 wind turbines, each with a capacity of 250kW. They were brought in from Germany and Denmark and refurbished in Christchurch.",, windenergy.org.nz,,No current series
Wellington Hospital,,Vector,Meridian Energy,Embedded,Cogeneration,8,Gas,0,Fuel_Oil,0,1981,1981,10,2 MW,0,,,0,,CPK0331,WEL - Wellington,NI - North Island,"Total annual injection into local network less than 0.1GWh per annum from CDS. Primarily used for backup. Consumption mainly internal to hospital when running. 4x Merriless-Blackstone 8cyl recip diesels with Brush Alternators 2.5MW rated, 2.0MW MCR",,"EMS (Reconciliation Manager List),CDS, ACS",,GEN.Thermal.Wellington.Hospital
Wellington Wind Turbine,,Meridian Energy,Meridian Energy,Embedded,Wind,0.2,Wind,0,Not Applicable,0,1993,1993,0.2,0.2 MW,0.8,,,0,,CPK0331,WEL - Wellington,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Wind.Wellington.Brooklyn
West Wind,,Meridian Energy,Meridian Energy,Grid Connected,Wind,143,Wind,0,Not Applicable,0,Oct 2009,2009,143,2.3 MW,550,62 x 2.3 MW,,0,,"WWD1102, WWD1103",WEL - Wellington,NI - North Island,,, www.meridianenergy.co.nz,,"GEN.Wind.Makara.Line2, GEN.Wind.Makara.Line3"
Whakamaru,Waikato Hydro Scheme,Mighty River Power,Mighty River Power,Grid Connected,Hydro,100,Hydro,0.315,Not Applicable,0,Dec 1956,1956,100,25 MW,494,,,11,,WKM2201,WTO - Waikato,NI - North Island,"The Whakamaru power station plays a pivotal role in the Waikato River hydro system. As well as being a significant contributor of electricity to the national grid, its main switching station receives generated power from all the upper Waikato stations, supplying the transmission system that leads north to Otahuhu and South to Bunnythorpe and Haywards.",,"Electricity Commission,EMS (Reconciliation Manager List)",4,GEN.Hydro.Waikato.Whakamaru
Whangarei,,Northland District Health Board,Meridian Energy,Embedded,Thermal,0,Unknown,0,Not Applicable,0,,,0,0 MW,0,,,0,,MPE0331,NIS - North Isthmus,NI - North Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Whangarei.Hospital
Wheao and Flaxy Scheme,,Trustpower,Trustpower,Grid Connected,Hydro,24,Hydro,0.16,Not Applicable,0,1982,1982,24,12 MW,115,2 x 12 MW,,0,,ROT0111,BOP - Bay Of Plenty,NI - North Island,"The Wheao and Flaxy scheme had it's beginnings in 1974, with the scheme being commissioned in 1980. The Wheao Hydro Electric Scheme, in the Kaingaroa forest is 82km from Rotorua, 25km from Murupara and 74km from Taupo. The 26MW scheme produces power using water from the Wheao and Rangitaiki Rivers as well as from Flaxy creek. Water from the the Rangitaiki River flows along a 4.7 kilometre open canal into the Wheao penstock intake. When a lot of power is needed the Flaxy Power Station supplements supply. A complex arrangement of canals, tunnels and pipelines feed the water from the upper Wheao River and Flaxy Creek to the Flaxy Power station.",," www.trustpower.co.nz,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Hydro.Wheao
Whirinaki,,Contact Energy,Contact Energy,Grid Connected,Thermal,155,Diesel,11000,Not Applicable,0,Jun 2004,2004,155,52 MW,9,,,0,,WHI2201,HBY - Hawkes Bay,NI - North Island,,,"EL Database,Electricity Commission,EMS (Reconciliation Manager List)",,GEN.Thermal.Whirinaki
Whisper Tech,,Whisper Tech,Meridian Energy,Embedded,Thermal,0,Unknown,0,Not Applicable,0,,,0,0.002 MW,0,,,0,,SBK0331,CAN - Canterbury,SI - South Island,GWh and MW data from Centralised Dataset 2006 calendar year,,"EMS (Reconciliation Manager List), CDS",,GEN.Thermal.Rangiora
White Hill,,Meridian Energy,Meridian Energy,Embedded,Wind,58,Wind,0,Not Applicable,0,Jun 2007,2007,58,2 MW,200,29 x 2 MW,,0,,NMA0331,OTG - Otago/Southland,SI - South Island,Estimated GWh assumes 40% load factor,, www.meridianenergy.co.nz,,GEN.Wind.WhiteHill
Whitford Landfill,,Waste Management,Trustpower,Embedded,Other,3,Biogas,0,Not Applicable,0,,,3,1 MW,20,3 x 1 MW,,0,,TAK0331,AKL - Auckland,NI - North Island,,,"PB 'Thermal & Geothermal Generation Capabilities',Electricity Commission,EMS (Reconciliation Manager List),www.wastemanagement.co.nz,CDS",,GEN.Thermal.Auckland.Whitford
